AGITATOR_SPEED,SEED_CRYSTAL_MASS,YIELD,GROWTH_RATE,MEAN_DIAMETER
565,0,238.888747,7.76E-08,242.67444
565,0.2,238.888747,7.76E-08,242.67444
565,0.4,238.888747,7.76E-08,242.67444
565,0.6,211.629844,8.05E-08,251.2570567
565,0.8,211.629844,8.05E-08,251.2570567
565,1,211.629844,8.05E-08,251.2570567
565,1.2,200.824696,7.98E-08,253.9667367
565,1.4,200.824696,7.98E-08,253.9667367
565,1.6,179.877801,6.99E-08,252.7110367
565,1.8,179.877801,6.99E-08,252.7110367
565,2,179.877801,6.99E-08,252.7110367
