,AGITATOR_SPEED,SEED_CRYSTAL_MASS,YIELD,GROWTH_RATE,MEAN_DIAMETER
0,210,0.0,193.3875593488344,7.315819929677245e-08,213.77775157720123
1,210,0.2,191.1219693488344,7.129307596343912e-08,211.83664046720122
2,210,0.4,188.8563793488344,6.942795263010579e-08,209.8955293572012
3,210,0.6000000000000001,186.5907893488344,6.756282929677245e-08,207.95441824720123
4,210,0.8,184.3251993488344,6.569770596343912e-08,206.01330713720122
5,210,1.0,182.05960934883439,6.383258263010579e-08,204.07219602720122
6,210,1.2000000000000002,179.79401934883438,6.196745929677246e-08,202.13108491720124
7,210,1.4000000000000001,177.52842934883438,6.010233596343913e-08,200.18997380720123
8,210,1.6,175.2628393488344,5.8237212630105787e-08,198.24886269720122
9,210,1.8,172.9972493488344,5.6372089296772454e-08,196.3077515872012
10,210,2.0,170.7316593488344,5.450696596343912e-08,194.36664047720126
11,215,0.0,193.549007960009,7.326716296280576e-08,214.25727916592302
12,215,0.2,191.283417960009,7.140203962947243e-08,212.31616805592304
13,215,0.4,189.017827960009,6.95369162961391e-08,210.37505694592303
14,215,0.6000000000000001,186.75223796000898,6.767179296280575e-08,208.43394583592303
15,215,0.8,184.48664796000898,6.580666962947242e-08,206.49283472592305
16,215,1.0,182.22105796000898,6.394154629613909e-08,204.55172361592304
17,215,1.2000000000000002,179.95546796000897,6.207642296280576e-08,202.61061250592303
18,215,1.4000000000000001,177.68987796000897,6.021129962947242e-08,200.66950139592305
19,215,1.6,175.424287960009,5.834617629613909e-08,198.72839028592304
20,215,1.8,173.158697960009,5.648105296280576e-08,196.78727917592303
21,215,2.0,170.893107960009,5.461592962947243e-08,194.84616806592305
22,220,0.0,193.71045657118358,7.337612662883906e-08,214.73680675464485
23,220,0.2,191.44486657118358,7.151100329550573e-08,212.79569564464484
24,220,0.4,189.17927657118358,6.96458799621724e-08,210.85458453464483
25,220,0.6000000000000001,186.91368657118358,6.778075662883906e-08,208.91347342464485
26,220,0.8,184.64809657118357,6.591563329550573e-08,206.97236231464484
27,220,1.0,182.38250657118357,6.40505099621724e-08,205.03125120464486
28,220,1.2000000000000002,180.11691657118357,6.218538662883907e-08,203.09014009464482
29,220,1.4000000000000001,177.85132657118356,6.032026329550574e-08,201.14902898464484
30,220,1.6,175.5857365711836,5.84551399621724e-08,199.20791787464486
31,220,1.8,173.32014657118359,5.659001662883907e-08,197.26680676464485
32,220,2.0,171.05455657118358,5.472489329550573e-08,195.32569565464485
33,225,0.0,193.87190518235818,7.348509029487237e-08,215.21633434336664
34,225,0.2,191.60631518235817,7.161996696153904e-08,213.27522323336666
35,225,0.4,189.34072518235817,6.975484362820571e-08,211.33411212336665
36,225,0.6000000000000001,187.07513518235817,6.788972029487236e-08,209.39300101336664
37,225,0.8,184.80954518235816,6.602459696153903e-08,207.45188990336663
38,225,1.0,182.54395518235816,6.41594736282057e-08,205.51077879336663
39,225,1.2000000000000002,180.27836518235816,6.229435029487237e-08,203.56966768336665
40,225,1.4000000000000001,178.01277518235815,6.042922696153903e-08,201.62855657336664
