,AGITATOR_SPEED,SEED_CRYSTAL_MASS,YIELD,GROWTH_RATE,MEAN_DIAMETER
0,210,0.0,184.05223499999988,6.946117900000002e-08,221.55309999999997
1,210,0.2,184.05223499999988,6.946117900000002e-08,221.55309999999997
2,210,0.4,184.05223499999988,6.946117900000002e-08,221.55309999999997
3,210,0.6000000000000001,201.79786999999993,7.075257500000008e-08,219.74494999999976
4,210,0.8,201.79786999999993,7.075257500000008e-08,219.74494999999976
5,210,1.0,201.79786999999993,7.075257500000008e-08,219.74494999999976
6,210,1.2000000000000002,202.18643399999996,6.994731600000009e-08,217.22558999999984
7,210,1.4000000000000001,202.18643399999996,6.994731600000009e-08,217.22558999999984
8,210,1.6,183.74181100000015,5.884845199999995e-08,191.437386667
9,210,1.8,183.74181100000015,5.884845199999995e-08,191.437386667
10,210,2.0,183.74181100000015,5.884845199999995e-08,191.437386667
11,215,0.0,184.05223499999988,6.946117900000002e-08,221.55309999999997
12,215,0.2,184.05223499999988,6.946117900000002e-08,221.55309999999997
13,215,0.4,184.05223499999988,6.946117900000002e-08,221.55309999999997
14,215,0.6000000000000001,201.79786999999993,7.075257500000008e-08,219.74494999999976
15,215,0.8,201.79786999999993,7.075257500000008e-08,219.74494999999976
16,215,1.0,201.79786999999993,7.075257500000008e-08,219.74494999999976
17,215,1.2000000000000002,202.18643399999996,6.994731600000009e-08,217.22558999999984
18,215,1.4000000000000001,202.18643399999996,6.994731600000009e-08,217.22558999999984
19,215,1.6,183.74181100000015,5.884845199999995e-08,191.437386667
20,215,1.8,183.74181100000015,5.884845199999995e-08,191.437386667
21,215,2.0,183.74181100000015,5.884845199999995e-08,191.437386667
22,220,0.0,184.05223499999988,6.946117900000002e-08,221.55309999999997
23,220,0.2,184.05223499999988,6.946117900000002e-08,221.55309999999997
24,220,0.4,184.05223499999988,6.946117900000002e-08,221.55309999999997
25,220,0.6000000000000001,201.79786999999993,7.075257500000008e-08,219.74494999999976
26,220,0.8,201.79786999999993,7.075257500000008e-08,219.74494999999976
27,220,1.0,201.79786999999993,7.075257500000008e-08,219.74494999999976
28,220,1.2000000000000002,202.18643399999996,6.994731600000009e-08,217.22558999999984
29,220,1.4000000000000001,202.18643399999996,6.994731600000009e-08,217.22558999999984
30,220,1.6,183.74181100000015,5.884845199999995e-08,191.437386667
31,220,1.8,183.74181100000015,5.884845199999995e-08,191.437386667
32,220,2.0,183.74181100000015,5.884845199999995e-08,191.437386667
33,225,0.0,184.05223499999988,6.946117900000002e-08,221.55309999999997
34,225,0.2,184.05223499999988,6.946117900000002e-08,221.55309999999997
35,225,0.4,184.05223499999988,6.946117900000002e-08,221.55309999999997
36,225,0.6000000000000001,201.79786999999993,7.075257500000008e-08,219.74494999999976
37,225,0.8,201.79786999999993,7.075257500000008e-08,219.74494999999976
38,225,1.0,201.79786999999993,7.075257500000008e-08,219.74494999999976
39,225,1.2000000000000002,202.18643399999996,6.994731600000009e-08,217.22558999999984
40,225,1.4000000000000001,202.18643399999996,6.994731600000009e-08,217.22558999999984
41,225,1.6,183.74181100000015,5.884845199999995e-08,191.437386667
42,225,1.8,183.74181100000015,5.884845199999995e-08,191.437386667
43,225,2.0,183.74181100000015,5.884845199999995e-08,191.437386667
44,230,0.0,184.05223499999988,6.946117900000002e-08,221.55309999999997
45,230,0.2,184.05223499999988,6.946117900000002e-08,221.55309999999997
46,230,0.4,184.05223499999988,6.946117900000002e-08,221.55309999999997
47,230,0.6000000000000001,201.79786999999993,7.075257500000008e-08,219.74494999999976
48,230,0.8,201.79786999999993,7.075257500000008e-08,219.74494999999976
49,230,1.0,201.79786999999993,7.075257500000008e-08,219.74494999999976
50,230,1.2000000000000002,202.18643399999996,6.994731600000009e-08,217.22558999999984
51,230,1.4000000000000001,202.18643399999996,6.994731600000009e-08,217.22558999999984
52,230,1.6,183.74181100000015,5.884845199999995e-08,191.437386667
53,230,1.8,183.74181100000015,5.884845199999995e-08,191.437386667
54,230,2.0,183.74181100000015,5.884845199999995e-08,191.437386667
55,235,0.0,184.05223499999988,6.946117900000002e-08,221.55309999999997
56,235,0.2,184.05223499999988,6.946117900000002e-08,221.55309999999997
57,235,0.4,184.05223499999988,6.946117900000002e-08,221.55309999999997
58,235,0.6000000000000001,201.79786999999993,7.075257500000008e-08,219.74494999999976
59,235,0.8,201.79786999999993,7.075257500000008e-08,219.74494999999976
60,235,1.0,201.79786999999993,7.075257500000008e-08,219.74494999999976
61,235,1.2000000000000002,202.18643399999996,6.994731600000009e-08,217.22558999999984
62,235,1.4000000000000001,202.18643399999996,6.994731600000009e-08,217.22558999999984
63,235,1.6,183.74181100000015,5.884845199999995e-08,191.437386667
64,235,1.8,183.74181100000015,5.884845199999995e-08,191.437386667
65,235,2.0,183.74181100000015,5.884845199999995e-08,191.437386667
66,240,0.0,184.05223499999988,6.946117900000002e-08,221.55309999999997
67,240,0.2,184.05223499999988,6.946117900000002e-08,221.55309999999997
68,240,0.4,184.05223499999988,6.946117900000002e-08,221.55309999999997
69,240,0.6000000000000001,201.79786999999993,7.075257500000008e-08,219.74494999999976
70,240,0.8,201.79786999999993,7.075257500000008e-08,219.74494999999976
71,240,1.0,201.79786999999993,7.075257500000008e-08,219.74494999999976
72,240,1.2000000000000002,202.18643399999996,6.994731600000009e-08,217.22558999999984
73,240,1.4000000000000001,202.18643399999996,6.994731600000009e-08,217.22558999999984
74,240,1.6,183.74181100000015,5.884845199999995e-08,191.437386667
75,240,1.8,183.74181100000015,5.884845199999995e-08,191.437386667
76,240,2.0,183.74181100000015,5.884845199999995e-08,191.437386667
77,245,0.0,184.05223499999988,6.946117900000002e-08,221.55309999999997
78,245,0.2,184.05223499999988,6.946117900000002e-08,221.55309999999997
79,245,0.4,184.05223499999988,6.946117900000002e-08,221.55309999999997
